Texture,EC,pH,OM,P,K,Sp,Aspect,Elevation,Slope,CVI,EVI,NDVI,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SARVV,SARVH,TWI
Loam,1.65,8.3,0.84,19.3,285,32,70.6171,85,5.57168,1.50792,0.35913,0.347696,0.136124,0.1829,0.244863,0.415953,0.710373,0.51258,0.671795,-10.857406,-26.133341,-17.63832
Sandy Loam,1.7,8.9,0.49,3,114,30,0,113,0,1.9246,0.326191,0.309946,0.162083,0.193248,0.219586,0.422464,0.58497,0.592158,0.650885,-10.800066,-22.768494,-13.09523
Loam,1.7,8.3,0.82,3.91,86,42,311.031,144,1.41258,1.72436,0.215872,0.362707,0.160856,0.187129,0.207251,0.418678,0.585671,0.598811,0.608999,-13.401116,-23.594801,0.480552
Loam,1.71,7.9,0.84,5.8,233,32,90,82,1.0546,2.40034,0.379829,0.343103,0.176085,0.192715,0.272978,0.456578,0.492687,0.503967,0.604398,-12.037893,-16.083335,-16.20185
Loam,1.74,7.9,0.84,1.5,147,36,289.288,94,5.59802,2.09701,0.479188,0.386746,0.184475,0.204164,0.288834,0.495373,0.537289,0.549911,0.672683,-9.363632,-15.640254,-14.12219
Loam,1.77,8.3,0.49,8.8,97,36,300.386,81,3.66223,2.29306,0.478044,0.423614,0.159282,0.177669,0.251349,0.464716,0.49872,0.508034,0.700246,-6.111839,-14.800458,2.020998
Loam,1.79,8,0.84,1.5,143,45,0,83,0,2.05372,0.36708,0.308742,0.189726,0.104058,0.288701,0.445893,0.488673,0.499914,0.649481,-8.205186,-17.37857,1.461382
Loam,1.79,7.9,0.98,11.9,198,44,228.695,87,1.40486,2.24609,0.453255,0.435593,0.134382,0.147181,0.208346,0.389939,0.418455,0.429056,0.686699,-8.913829,-14.777213,-16.4953
Loam,1.81,8.3,0.7,9.9,236,34,48.6218,77,4.20177,1.96374,0.294688,0.250673,0.195525,0.113973,0.303104,0.4336,0.479811,0.496307,0.652759,-11.283936,-15.175245,-16.78906
Sandy Loam,1.98,7.8,0.63,4.8,109,36,90,91,1.05698,2.24297,0.414175,0.369247,0.167966,0.183494,0.259517,0.442162,0.478154,0.488277,0.68384,-9.179386,-17.987147,-16.43662
